TRACTCE,GEOID,FIPS,POPULATION,MEDIAN_NDVI_2019,MEDIAN_NDVI_2020,MEDIAN_NDVI_2021,MEDIAN_NDVI_2022,MEDIAN_NDVI_2023,MEDIAN_NDVI_2024,MEAN_NDVI_2019,MEAN_NDVI_2020,MEAN_NDVI_2021,MEAN_NDVI_2022,MEAN_NDVI_2023,MEAN_NDVI_2024
227010,1400000US06037227010,06037227010,4419,0.1114043928751578,0.0954827064176318,0.1035615450569561,0.1151297099888324,0.1148974105370727,0.1197782502594319,0.1356165254608382,0.1180778358001936,0.1290201217886476,0.1369337811276576,0.1354703058079635,0.1467637559324255
603703,1400000US06037603703,06037603703,2534,0.2829024331136183,0.2747801182530789,0.2521773793983577,0.2682425933224814,0.2758060534795125,0.2829505290303911,0.2784495732552121,0.2755691416431193,0.2591546231905339,0.2748083907391443,0.2801037369012346,0.2648253842058448
185202,1400000US06037185202,06037185202,3627,0.5444655580954116,0.5096876239334563,0.4398478874828825,0.4787294673630665,0.5066459774971008,0.5368793725967407,0.5104500781191408,0.47900887895113,0.4283588363617515,0.4562959572070918,0.4379485194821839,0.4956109428567171
310501,1400000US06037310501,06037310501,3730,0.0765801251970575,0.0760111639225617,0.0763679257058722,0.0841035685464499,0.0838093596601218,0.0840501670025965,0.1264958615361114,0.1217148203367955,0.1256767520780742,0.1346527008197454,0.1276675073346493,0.1365378366402899
532101,1400000US06037532101,06037532101,6830,0.1757111924851283,0.1855564711189826,0.1661221486983505,0.1696853414177894,0.1757226798106934,0.1763047817670744,0.204672591006991,0.2098887917662653,0.1990724237365089,0.188329356485124,0.1891499239518057,0.2047891785447832
127104,1400000US06037127104,06037127104,4085,0.2171849103807841,0.2164681553840637,0.2050703814303553,0.2133221444156434,0.2050197479312371,0.2237785209216171,0.2176667879577272,0.2110691193839161,0.2068730145929323,0.2134680329461248,0.2120627309286961,0.2309182989748149
530007,1400000US06037530007,06037530007,6570,0.3535032751897262,0.3065991389984765,0.2753045407950406,0.2831281620301482,0.2870844006029063,0.3181321396838522,0.3802549495579073,0.3432210553914884,0.2983115907087468,0.3083396142844608,0.3132536501825051,0.3341669380681059
191204,1400000US06037191204,06037191204,1835,0.1741967745818371,0.1736520578463872,0.1622006150503312,0.1649221207196276,0.1616759896278381,0.1650714129209518,0.1911803047005481,0.1809739529531592,0.178141674869479,0.1840789197454546,0.184269434244906,0.1902639499318807
192610,1400000US06037192610,06037192610,4058,0.1580970644950866,0.1535691171884536,0.1424935132265091,0.1508408489113369,0.1470099927208616,0.1464726235614398,0.1879411320062096,0.1774006512739131,0.1687173675891499,0.1738037146527585,0.1755796233161349,0.1793916941569534
920121,1400000US06037920121,06037920121,10454,0.2714519133162458,0.2752596360766612,0.2089471059698166,0.248049084496645,0.2830712824393368,0.3025964905828386,0.2985680207312472,0.288971336882715,0.2186317153576693,0.2512960198426568,0.3252025613499553,0.3244718931643114
910213,1400000US06037910213,06037910213,1265,0.3789451801161235,0.3398063193289565,0.2695349857905388,0.2461003662776538,0.3710721677586419,0.3946161420381252,0.3455651652742458,0.3198041197915027,0.2523126225626935,0.2439725003369638,0.3403130173104536,0.3549938206636338
463000,1400000US06037463000,06037463000,2495,0.298988802748244,0.302118042952071,0.2907909391877886,0.2990141219844229,0.2833733888104213,0.2990673887020593,0.2976742744560935,0.2921799900673334,0.2930940167479245,0.2953887528232845,0.2702190785495975,0.2945978534225958
240500,1400000US06037240500,06037240500,6420,0.1893674663893164,0.1854636221060178,0.1743055328520861,0.1777963619679212,0.1856878364224467,0.1862211685095514,0.205749928135293,0.1959155627054405,0.1861552341449991,0.1885188875306959,0.2073382073132482,0.1925369285643134
400206,1400000US06037400206,06037400206,5208,0.3223808747711713,0.3261669036093067,0.318278266384758,0.30682269005377,0.2991013639322914,0.3220024722544391,0.3456706493216045,0.343464201141306,0.3390137307191758,0.3285043762421707,0.3225308864588089,0.343919099203514
291110,1400000US06037291110,06037291110,4161,0.2518422747396038,0.2286277749259948,0.2089644382342449,0.2209763944149017,0.2440254583954811,0.2518381480835122,0.2597801803336949,0.2242009769334512,0.2227755292695828,0.2358497978756703,0.2564144844887777,0.2588798755793852
481403,1400000US06037481403,06037481403,2892,0.2204002092281977,0.2085764985897288,0.2050903266630862,0.2085949827982376,0.2045563299111858,0.2165638864316986,0.2337303622411539,0.2095889119123867,0.2230078983213187,0.2251550142124656,0.2089903403065726,0.2333638357781939
602104,1400000US06037602104,06037602104,5585,0.1584378098282323,0.1585997051281952,0.1463746330056427,0.150353926916732,0.153898075222969,0.1549524962902069,0.1663548379350151,0.1658993481950942,0.159249004604939,0.1585330508581866,0.1703541243912991,0.1632769765640688
132002,1400000US06037132002,06037132002,3180,0.3144611505485831,0.3185170497745275,0.2908912287517027,0.3103585102978874,0.2869435651050283,0.3144910297263493,0.3249054977330683,0.3263072244607209,0.3112599230450075,0.3287845322832334,0.2917318310596354,0.318821238130882
189400,1400000US06037189400,06037189400,3567,0.4903684801504729,0.4903509952615962,0.4472386014711957,0.4671341344814172,0.4664549812932196,0.521645244479459,0.4809419230957042,0.4732839125385161,0.4432259062154219,0.4621191892672219,0.4656943592038156,0.5036764837252355
113237,1400000US06037113237,06037113237,3882,0.3183223350745875,0.3374887597570041,0.2792788829765686,0.3027559608119209,0.3104466753054971,0.3144147114975574,0.3318715840195802,0.3301030763143673,0.2688110141033373,0.2925823752879884,0.3471051367690471,0.331696447953855
910218,1400000US06037910218,06037910218,4466,0.2167505434638745,0.2010648294893496,0.1464962639867094,0.1582117187355967,0.253752894205196,0.2773500655289667,0.2220432524941378,0.2208987571462737,0.1504861703652378,0.1632881085921549,0.2701383212628849,0.2581664639236574
271500,1400000US06037271500,06037271500,2936,0.3456186224079283,0.3491006349856485,0.3142947125281551,0.334286789679697,0.3344162819156215,0.3616177578767141,0.3572599246728904,0.3579923326979261,0.3321582682373115,0.3461945335789174,0.3259853748583237,0.3670144422735722
570304,1400000US06037570304,06037570304,4839,0.1856306419141141,0.181934225154867,0.1776101931929588,0.1780510942141215,0.173661897498592,0.1813956545870997,0.2057763094728616,0.2009629323935033,0.1973956809800347,0.1976539165729661,0.2035192167348676,0.1978864691049572
